,annotatable_entities,annotated_entities,coverage,consistent_entities,consistency,specificity
BIOMD0000000915.xml,19,,0.0,,,
BIOMD0000000083.xml,78,60,0.77,56,0.93,0.69
BIOMD0000000097.xml,68,65,0.96,58,0.89,0.78
BIOMD0000000929.xml,31,8,0.26,8,1.0,0.65
BIOMD0000000096.xml,68,65,0.96,58,0.89,0.78
BIOMD0000000928.xml,19,13,0.68,13,1.0,1.0
BIOMD0000000082.xml,18,11,0.61,8,0.73,0.74
BIOMD0000000914.xml,16,2,0.12,2,1.0,0.88
BIOMD0000000900.xml,11,,0.0,,,
BIOMD0000000055.xml,47,47,1.0,45,0.96,0.77
BIOMD0000000733.xml,11,,0.0,,,
BIOMD0000000727.xml,89,20,0.22,20,1.0,0.96
BIOMD0000000041.xml,22,22,1.0,22,1.0,0.94
BIOMD0000000069.xml,19,17,0.89,16,0.94,0.86
BIOMD0000000294.xml,39,39,1.0,29,0.74,0.18
BIOMD0000000280.xml,2,1,0.5,1,1.0,0.74
BIOMD0000000531.xml,3,2,0.67,2,1.0,0.97
BIOMD0000000257.xml,24,24,1.0,24,1.0,0.44
BIOMD0000000243.xml,48,40,0.83,39,0.98,0.66
BIOMD0000000525.xml,39,10,0.26,9,0.9,0.94
BIOMD0000000519.xml,12,1,0.08,1,1.0,0.72
BIOMD0000000486.xml,6,4,0.67,4,1.0,0.37
BIOMD0000000492.xml,144,40,0.28,38,0.95,0.98
BIOMD0000000445.xml,100,91,0.91,90,0.99,0.77
BIOMD0000000323.xml,11,5,0.45,1,0.2,0.31
BIOMD0000000337.xml,10,8,0.8,6,0.75,0.83
BIOMD0000000451.xml,150,70,0.47,69,0.99,1.0
BIOMD0000000479.xml,74,26,0.35,20,0.77,0.73
BIOMD0000001001.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000684.xml,2,1,0.5,1,1.0,0.61
BIOMD0000000848.xml,32,16,0.5,16,1.0,0.86
BIOMD0000000690.xml,29,23,0.79,23,1.0,0.94
BIOMD0000000860.xml,11,,0.0,,,
BIOMD0000000874.xml,14,1,0.07,1,1.0,0.76
BIOMD0000000121.xml,13,12,0.92,11,0.92,0.7
BIOMD0000000647.xml,24,16,0.67,16,1.0,0.66
BIOMD0000000653.xml,118,103,0.87,102,0.99,0.77
BIOMD0000000135.xml,2,2,1.0,1,0.5,1.0
BIOMD0000000109.xml,197,141,0.72,140,0.99,0.63
BIOMD0000000110.xml,39,27,0.69,26,0.96,0.63
BIOMD0000000676.xml,34,7,0.21,7,1.0,0.93
BIOMD0000000662.xml,17,7,0.41,7,1.0,0.55
BIOMD0000000104.xml,10,10,1.0,6,0.6,0.89
BIOMD0000000892.xml,14,,0.0,,,
BIOMD0000000886.xml,17,,0.0,,,
BIOMD0000000138.xml,4,4,1.0,3,0.75,0.82
BIOMD0000000879.xml,16,7,0.44,7,1.0,0.74
BIOMD0000000689.xml,29,23,0.79,23,1.0,0.94
BIOMD0000000851.xml,11,,0.0,,,
BIOMD0000000845.xml,12,6,0.5,6,1.0,0.75
BIOMD0000000474.xml,506,96,0.19,96,1.0,0.98
BIOMD0000000312.xml,9,9,1.0,8,0.89,0.61
BIOMD0000000306.xml,15,15,1.0,14,0.93,0.69
BIOMD0000000460.xml,9,7,0.78,4,0.57,0.55
BIOMD0000000448.xml,63,24,0.38,23,0.96,0.98
BIOMD0000000500.xml,35,17,0.49,16,0.94,0.63
BIOMD0000000266.xml,11,11,1.0,11,1.0,0.83
BIOMD0000000272.xml,18,18,1.0,15,0.83,0.89
BIOMD0000000514.xml,85,46,0.54,45,0.98,0.95
BIOMD0000000528.xml,29,9,0.31,9,1.0,0.9
BIOMD0000000299.xml,6,6,1.0,6,1.0,0.76
BIOMD0000000064.xml,46,42,0.91,40,0.95,0.96
BIOMD0000000702.xml,87,52,0.6,52,1.0,0.58
BIOMD0000000716.xml,17,,0.0,,,
BIOMD0000000070.xml,85,68,0.8,63,0.93,0.98
BIOMD0000000058.xml,17,15,0.88,15,1.0,0.88
BIOMD0000000919.xml,9,1,0.11,1,1.0,1.0
BIOMD0000000925.xml,34,1,0.03,1,1.0,1.0
BIOMD0000000931.xml,11,,0.0,,,
BIOMD0000000930.xml,20,,0.0,,,
BIOMD0000000924.xml,19,,0.0,,,
BIOMD0000000918.xml,17,,0.0,,,
BIOMD0000000059.xml,27,23,0.85,22,0.96,0.9
BIOMD0000000717.xml,17,,0.0,,,
BIOMD0000000071.xml,46,42,0.91,39,0.93,0.98
BIOMD0000000065.xml,27,23,0.85,22,0.96,0.84
BIOMD0000000703.xml,35,8,0.23,8,1.0,0.95
BIOMD0000000298.xml,12,11,0.92,11,1.0,0.77
BIOMD0000000529.xml,29,8,0.28,8,1.0,0.89
BIOMD0000000273.xml,59,59,1.0,56,0.95,0.81
BIOMD0000000515.xml,95,50,0.53,49,0.98,0.93
BIOMD0000000501.xml,94,37,0.39,37,1.0,0.6
BIOMD0000000267.xml,11,6,0.55,5,0.83,0.92
BIOMD0000000449.xml,63,24,0.38,23,0.96,0.98
BIOMD0000000307.xml,12,12,1.0,11,0.92,0.74
BIOMD0000000461.xml,9,8,0.89,5,0.62,0.55
BIOMD0000000475.xml,50,47,0.94,46,0.98,0.78
BIOMD0000000313.xml,34,34,1.0,33,0.97,0.97
BIOMD0000000844.xml,21,10,0.48,10,1.0,0.77
BIOMD0000000850.xml,9,2,0.22,2,1.0,0.77
BIOMD0000000688.xml,48,23,0.48,22,0.96,0.6
BIOMD0000000878.xml,11,1,0.09,1,1.0,0.89
BIOMD0000000887.xml,16,7,0.44,6,0.86,0.61
BIOMD0000000139.xml,72,55,0.76,51,0.93,0.67
BIOMD0000000893.xml,11,3,0.27,3,1.0,1.0
BIOMD0000000663.xml,14,4,0.29,4,1.0,0.71
BIOMD0000000105.xml,135,100,0.74,99,0.99,0.55
BIOMD0000000111.xml,31,26,0.84,22,0.85,0.81
BIOMD0000000677.xml,2,1,0.5,1,1.0,0.64
BIOMD0000000107.xml,39,28,0.72,28,1.0,0.89
BIOMD0000000661.xml,28,7,0.25,5,0.71,0.92
BIOMD0000000675.xml,23,19,0.83,18,0.95,0.98
BIOMD0000000113.xml,14,12,0.86,12,1.0,0.8
BIOMD0000000885.xml,14,,0.0,,,
BIOMD0000000891.xml,11,,0.0,,,
BIOMD0000000846.xml,12,6,0.5,6,1.0,0.75
BIOMD0000000852.xml,23,13,0.57,12,0.92,0.77
BIOMD0000000463.xml,91,33,0.36,28,0.85,0.79
BIOMD0000000305.xml,15,15,1.0,15,1.0,0.96
BIOMD0000000311.xml,11,11,1.0,10,0.91,0.7
BIOMD0000000477.xml,95,37,0.39,37,1.0,0.95
BIOMD0000000339.xml,171,32,0.19,32,1.0,0.98
BIOMD0000000488.xml,183,21,0.11,20,0.95,0.97
BIOMD0000000517.xml,15,1,0.07,1,1.0,0.72
BIOMD0000000271.xml,18,18,1.0,14,0.78,0.88
BIOMD0000000265.xml,77,12,0.16,11,0.92,0.96
BIOMD0000000503.xml,113,112,0.99,112,1.0,0.8
BIOMD0000000259.xml,49,47,0.96,47,1.0,0.75
BIOMD0000000073.xml,66,53,0.8,51,0.96,0.69
BIOMD0000000715.xml,18,,0.0,,,
BIOMD0000000701.xml,87,54,0.62,54,1.0,0.59
BIOMD0000000067.xml,23,16,0.7,16,1.0,0.87
BIOMD0000000729.xml,12,1,0.08,,0.0,
BIOMD0000000932.xml,11,,0.0,,,
BIOMD0000000926.xml,36,,0.0,,,
BIOMD0000000098.xml,11,11,1.0,11,1.0,0.82
BIOMD0000000927.xml,19,13,0.68,13,1.0,1.0
BIOMD0000000099.xml,24,20,0.83,18,0.9,0.87
BIOMD0000000933.xml,8,,0.0,,,
BIOMD0000000728.xml,9,1,0.11,1,1.0,1.0
BIOMD0000000700.xml,81,25,0.31,24,0.96,0.86
BIOMD0000000066.xml,20,20,1.0,19,0.95,0.96
BIOMD0000000072.xml,16,13,0.81,11,0.85,0.77
BIOMD0000000714.xml,16,1,0.06,,0.0,
BIOMD0000000258.xml,9,4,0.44,4,1.0,0.9
BIOMD0000000264.xml,31,30,0.97,29,0.97,0.89
BIOMD0000000502.xml,34,33,0.97,33,1.0,0.69
BIOMD0000000516.xml,94,48,0.51,47,0.98,0.94
BIOMD0000000270.xml,77,76,0.99,75,0.99,0.97
BIOMD0000000489.xml,114,33,0.29,32,0.97,0.99
BIOMD0000000338.xml,171,32,0.19,32,1.0,0.98
BIOMD0000000310.xml,12,12,1.0,11,0.92,0.68
BIOMD0000000476.xml,54,54,1.0,48,0.89,0.78
BIOMD0000000462.xml,16,7,0.44,7,1.0,0.88
BIOMD0000000304.xml,7,6,0.86,5,0.83,0.86
BIOMD0000000853.xml,32,1,0.03,1,1.0,1.0
BIOMD0000000847.xml,12,4,0.33,4,1.0,0.98
BIOMD0000000648.xml,120,103,0.86,102,0.99,0.77
BIOMD0000000890.xml,11,3,0.27,3,1.0,0.96
BIOMD0000000884.xml,11,,0.0,,,
BIOMD0000000674.xml,131,99,0.76,96,0.97,0.96
BIOMD0000000112.xml,21,12,0.57,10,0.83,0.79
BIOMD0000000106.xml,59,57,0.97,56,0.98,0.81
BIOMD0000000660.xml,57,43,0.75,43,1.0,0.79
BIOMD0000000880.xml,17,4,0.24,4,1.0,0.65
BIOMD0000000658.xml,36,20,0.56,19,0.95,0.92
BIOMD0000000894.xml,11,,0.0,,,
BIOMD0000000664.xml,25,13,0.52,13,1.0,0.95
BIOMD0000000102.xml,43,36,0.84,31,0.86,0.73
BIOMD0000000116.xml,18,18,1.0,17,0.94,0.96
